&GShkar          ->&w2   &G-&w  17   &G   Rvnum: 10300   Sea-elf Conjurer
&GTogra          ->&w5   &G-&w  17   &G   Rvnum: 10430   Ghoul Jester
&GAahz           ->&w40  &G-&w  37   &G   Rvnum: 4605    Lizardman Diabolist
&GAahz           ->&w41  &G-&w  38   &G   Rvnum: 4609    Lizardman Diabolist
&GBrolly         ->&w27  &G-&w  23   &G   Rvnum: 3833    Gith Monk
&GEaven          ->&w47  &G-&w  273  &G   Rvnum: 4617    Human Bishop
&GKarl           ->&w30  &G-&w  27   &G   Rvnum: 8036    Ghoul Ranger
&GKarl           ->&w31  &G-&w  28   &G   Rvnum: 8018    Ghoul Ranger
&GVlad           ->&w36  &G-&w  76   &G   Rvnum: 7700    Ghoul Bishop
&GEaven          ->&w48  &G-&w  275  &G   Rvnum: 4667    Human Bishop
&GRyvius         ->&w6   &G-&w  18   &G   Rvnum: 1033    Minotaur Shaman
&GSparhawk       ->&w31  &G-&w  31   &G   Rvnum: 8045    Elf Mage
&GRyvius         ->&w7   &G-&w  19   &G   Rvnum: 202     Minotaur Shaman
&GRyvius         ->&w8   &G-&w  19   &G   Rvnum: 220     Minotaur Shaman
&GSparhawk       ->&w32  &G-&w  32   &G   Rvnum: 818     Elf Mage
&GFistandan      ->&w28  &G-&w  55   &G   Rvnum: 10001   Drow Archmagi
&GFenix          ->&w37  &G-&w  63   &G   Rvnum: 11062   Half-elf Bishop
&GVulgon         ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Diabolist
&GVulgon         ->&w3   &G-&w  17   &G   Rvnum: 10432   Ghoul Diabolist
&GVulgon         ->&w4   &G-&w  17   &G   Rvnum: 202     Ghoul Diabolist
&GVulgon         ->&w5   &G-&w  17   &G   Rvnum: 202     Ghoul Diabolist
&GVulgon         ->&w6   &G-&w  18   &G   Rvnum: 206     Ghoul Diabolist
&GVulgon         ->&w7   &G-&w  18   &G   Rvnum: 202     Ghoul Diabolist
&GVulgon         ->&w8   &G-&w  18   &G   Rvnum: 210     Ghoul Diabolist
&GKarl           ->&w32  &G-&w  29   &G   Rvnum: 8032    Ghoul Ranger
&GLila Bladeheart  ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Warrior
&GLila Bladeheart  ->&w3   &G-&w  17   &G   Rvnum: 10361   Ghoul Warrior
&GLila Bladeheart  ->&w4   &G-&w  17   &G   Rvnum: 10361   Ghoul Warrior
&GVlad           ->&w37  &G-&w  78   &G   Rvnum: 4605    Ghoul Bishop
&GSuton          ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Druid
&GSuton          ->&w3   &G-&w  17   &G   Rvnum: 10361   Ghoul Druid
&GSuton          ->&w4   &G-&w  17   &G   Rvnum: 10361   Ghoul Druid
&GSuton          ->&w5   &G-&w  17   &G   Rvnum: 10431   Ghoul Druid
&GSuton          ->&w6   &G-&w  17   &G   Rvnum: 10431   Ghoul Druid
&GAahz           ->&w42  &G-&w  39   &G   Rvnum: 4605    Lizardman Diabolist
&GSuton          ->&w7   &G-&w  17   &G   Rvnum: 1255    Ghoul Druid
&GRyvius         ->&w9   &G-&w  20   &G   Rvnum: 204     Minotaur Shaman
&GJarak          ->&w2   &G-&w  17   &G   Rvnum: 10300   Half-elf Ranger
&GJarak          ->&w3   &G-&w  17   &G   Rvnum: 10374   Half-elf Ranger
&GTorrix         ->&w2   &G-&w  17   &G   Rvnum: 10300   Wolfen Ranger
&GSuton          ->&w8   &G-&w  17   &G   Rvnum: 4336    Ghoul Druid
&GNombus         ->&w2   &G-&w  17   &G   Rvnum: 10300   Drow Mage
&GNombus         ->&w3   &G-&w  17   &G   Rvnum: 10361   Drow Mage
&GNombus         ->&w4   &G-&w  17   &G   Rvnum: 10361   Drow Mage
&GNombus         ->&w5   &G-&w  17   &G   Rvnum: 10431   Drow Mage
&GNombus         ->&w6   &G-&w  17   &G   Rvnum: 10414   Drow Mage
&GKalia          ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Druid
&GNombus         ->&w7   &G-&w  17   &G   Rvnum: 1219    Drow Mage
&GShane          ->&w25  &G-&w  75   &G   Rvnum: 10001   Ghoul Bishop
&GNombus         ->&w8   &G-&w  17   &G   Rvnum: 1268    Drow Mage
&GNombus         ->&w9   &G-&w  17   &G   Rvnum: 1259    Drow Mage
&GNombus         ->&w10  &G-&w  17   &G   Rvnum: 10837   Drow Mage
&GAkthor         ->&w2   &G-&w  17   &G   Rvnum: 10300   Drow Diabolist
&GAkthor         ->&w3   &G-&w  17   &G   Rvnum: 10429   Drow Diabolist
&GAkthor         ->&w4   &G-&w  17   &G   Rvnum: 10376   Drow Diabolist
&GAkthor         ->&w5   &G-&w  17   &G   Rvnum: 10375   Drow Diabolist
&GAkthor         ->&w6   &G-&w  17   &G   Rvnum: 10375   Drow Diabolist
&GAkthor         ->&w7   &G-&w  17   &G   Rvnum: 1209    Drow Diabolist
&GAkthor         ->&w8   &G-&w  17   &G   Rvnum: 1028    Drow Diabolist
&GAaron          ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Conjurer
&GKarl           ->&w33  &G-&w  29   &G   Rvnum: 8028    Ghoul Ranger
&GAaron          ->&w3   &G-&w  17   &G   Rvnum: 10447   Ghoul Conjurer
&GAaron          ->&w4   &G-&w  17   &G   Rvnum: 10368   Ghoul Conjurer
&GAaron          ->&w5   &G-&w  17   &G   Rvnum: 1078    Ghoul Conjurer
&GKarl           ->&w34  &G-&w  30   &G   Rvnum: 8042    Ghoul Ranger
&GVlad           ->&w38  &G-&w  79   &G   Rvnum: 4605    Ghoul Bishop
&GAkthor         ->&w9   &G-&w  18   &G   Rvnum: 1264    Drow Diabolist
&GDahlia         ->&w22  &G-&w  29   &G   Rvnum: 8116    Pixie Mage
&GDahlia         ->&w23  &G-&w  30   &G   Rvnum: 9845    Pixie Mage
&GMizzamir       ->&w2   &G-&w  17   &G   Rvnum: 10300   Elf Conjurer
&GMizzamir       ->&w3   &G-&w  17   &G   Rvnum: 10449   Elf Conjurer
&GMizzamir       ->&w4   &G-&w  17   &G   Rvnum: 10431   Elf Conjurer
&GNoloki         ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Diabolist
&GNoloki         ->&w3   &G-&w  17   &G   Rvnum: 10431   Human Diabolist
&GNoloki         ->&w4   &G-&w  17   &G   Rvnum: 10379   Human Diabolist
&GNoloki         ->&w5   &G-&w  17   &G   Rvnum: 10376   Human Diabolist
&GRedemption     ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Ranger
&GWrath          ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Warrior
&GWrath          ->&w3   &G-&w  17   &G   Rvnum: 10432   Human Warrior
&GChalise        ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Druid
&GBrolly         ->&w28  &G-&w  25   &G   Rvnum: 3832    Gith Monk
&GRedemption     ->&w3   &G-&w  17   &G   Rvnum: 10365   Human Ranger
&GRedemption     ->&w4   &G-&w  17   &G   Rvnum: 10380   Human Ranger
&GRedemption     ->&w5   &G-&w  17   &G   Rvnum: 21024   Human Ranger
&GAaron          ->&w6   &G-&w  18   &G   Rvnum: 21098   Ghoul Conjurer
&GFistandan      ->&w29  &G-&w  56   &G   Rvnum: 10014   Drow Archmagi
&GKarl           ->&w35  &G-&w  31   &G   Rvnum: 8012    Ghoul Ranger
&GVulgon         ->&w9   &G-&w  19   &G   Rvnum: 207     Ghoul Diabolist
&GKalatis        ->&w19  &G-&w  60   &G   Rvnum: 5138    Half-elf Thief
&GEaven          ->&w49  &G-&w  276  &G   Rvnum: 4666    Human Bishop
&GKarl           ->&w36  &G-&w  32   &G   Rvnum: 455     Ghoul Ranger
&GEaven          ->&w50  &G-&w  276  &G   Rvnum: 4656    Human Bishop
&GSuffer         ->&w2   &G-&w  17   &G   Rvnum: 10300   Minotaur Thug
&GSuffer         ->&w3   &G-&w  17   &G   Rvnum: 10361   Minotaur Thug
&GSuffer         ->&w4   &G-&w  17   &G   Rvnum: 10361   Minotaur Thug
&GSuffer         ->&w5   &G-&w  17   &G   Rvnum: 10381   Minotaur Thug
&GOkami          ->&w2   &G-&w  17   &G   Rvnum: 10300   Wolfen Druid
&GOkami          ->&w3   &G-&w  17   &G   Rvnum: 10308   Wolfen Druid
&GOkami          ->&w4   &G-&w  17   &G   Rvnum: 10366   Wolfen Druid
&GOkami          ->&w5   &G-&w  17   &G   Rvnum: 10381   Wolfen Druid
&GVlad           ->&w39  &G-&w  80   &G   Rvnum: 4610    Ghoul Bishop
&GNombus         ->&w11  &G-&w  17   &G   Rvnum: 21050   Drow Mage
&GNombus         ->&w12  &G-&w  17   &G   Rvnum: 1260    Drow Mage
&GKarl           ->&w37  &G-&w  33   &G   Rvnum: 21011   Ghoul Ranger
&GBrolly         ->&w29  &G-&w  26   &G   Rvnum: 3838    Gith Monk
&GBlack          ->&w11  &G-&w  19   &G   Rvnum: 4350    Dwarf Ranger
&GBlack          ->&w12  &G-&w  19   &G   Rvnum: 4338    Dwarf Ranger
&GBlack          ->&w13  &G-&w  19   &G   Rvnum: 4308    Dwarf Ranger
&GAahz           ->&w43  &G-&w  41   &G   Rvnum: 4610    Lizardman Diabolist
&GCelestron      ->&w20  &G-&w  24   &G   Rvnum: 8025    Half-elf Cleric
&GSkagit         ->&w15  &G-&w  31   &G   Rvnum: 6262    Minotaur Ranger
&GDesaad         ->&w2   &G-&w  17   &G   Rvnum: 10300   Elf Mage
&GAaron          ->&w7   &G-&w  19   &G   Rvnum: 1050    Ghoul Conjurer
&GAahz           ->&w44  &G-&w  44   &G   Rvnum: 4608    Lizardman Diabolist
&GVlad           ->&w40  &G-&w  82   &G   Rvnum: 4610    Ghoul Bishop
&GBrolly         ->&w30  &G-&w  27   &G   Rvnum: 3807    Gith Monk
&GCelestron      ->&w21  &G-&w  25   &G   Rvnum: 426     Half-elf Cleric
&GBlack          ->&w14  &G-&w  20   &G   Rvnum: 4317    Dwarf Ranger
&GCelestron      ->&w22  &G-&w  26   &G   Rvnum: 14139   Half-elf Cleric
&GLyken          ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Cleric
&GBrolly         ->&w31  &G-&w  28   &G   Rvnum: 3822    Gith Monk
&GAkthor         ->&w10  &G-&w  19   &G   Rvnum: 659     Drow Diabolist
&GAahz           ->&w45  &G-&w  47   &G   Rvnum: 4610    Lizardman Diabolist
&GAahz           ->&w46  &G-&w  48   &G   Rvnum: 1036    Lizardman Diabolist
&GAahz           ->&w47  &G-&w  48   &G   Rvnum: 1009    Lizardman Diabolist
&GAahz           ->&w48  &G-&w  49   &G   Rvnum: 1011    Lizardman Diabolist
&GAahz           ->&w49  &G-&w  49   &G   Rvnum: 4605    Lizardman Diabolist
&GAahz           ->&w50  &G-&w  50   &G   Rvnum: 5131    Lizardman Diabolist
&GVlad           ->&w41  &G-&w  83   &G   Rvnum: 4609    Ghoul Bishop
&GKarl           ->&w38  &G-&w  34   &G   Rvnum: 4608    Ghoul Ranger
&GBenk           ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Cleric
&GAahz           ->&w3   &G-&w  50   &G   Rvnum: 4604    Lizardman Bishop
&GAahz           ->&w4   &G-&w  50   &G   Rvnum: 4604    Lizardman Bishop
&GAahz           ->&w5   &G-&w  50   &G   Rvnum: 4605    Lizardman Bishop
&GBenk           ->&w3   &G-&w  17   &G   Rvnum: 10361   Ghoul Cleric
&GBenk           ->&w4   &G-&w  17   &G   Rvnum: 10361   Ghoul Cleric
&GAahz           ->&w6   &G-&w  50   &G   Rvnum: 4607    Lizardman Bishop
&GBenk           ->&w5   &G-&w  17   &G   Rvnum: 1206    Ghoul Cleric
&GAahz           ->&w7   &G-&w  50   &G   Rvnum: 1008    Lizardman Bishop
&GAahz           ->&w8   &G-&w  50   &G   Rvnum: 1008    Lizardman Bishop
&GBenk           ->&w6   &G-&w  17   &G   Rvnum: 1271    Ghoul Cleric
&GAahz           ->&w9   &G-&w  50   &G   Rvnum: 4608    Lizardman Bishop
&GAahz           ->&w10  &G-&w  50   &G   Rvnum: 4608    Lizardman Bishop
&GAahz           ->&w11  &G-&w  50   &G   Rvnum: 1035    Lizardman Bishop
&GAahz           ->&w12  &G-&w  50   &G   Rvnum: 4606    Lizardman Bishop
&GAahz           ->&w13  &G-&w  51   &G   Rvnum: 1012    Lizardman Bishop
&GAahz           ->&w14  &G-&w  51   &G   Rvnum: 4608    Lizardman Bishop
&GAahz           ->&w15  &G-&w  51   &G   Rvnum: 4602    Lizardman Bishop
&GAahz           ->&w16  &G-&w  51   &G   Rvnum: 4605    Lizardman Bishop
&GIan            ->&w2   &G-&w  17   &G   Rvnum: 10300   Human Thug
&GFlanders       ->&w2   &G-&w  17   &G   Rvnum: 10300   Ghoul Warrior
&GFlanders       ->&w3   &G-&w  17   &G   Rvnum: 10342   Ghoul Warrior
&GFlanders       ->&w4   &G-&w  17   &G   Rvnum: 10364   Ghoul Warrior
&GFlanders       ->&w5   &G-&w  17   &G   Rvnum: 10367   Ghoul Warrior
